Location,Lead
Dripline,1943.7
Dripline,1856.6
Dripline,1757.3
Dripline,4658.9
Dripline,1726.1
Dripline,1304.6
Dripline,760.3
Dripline,3107.9
Dripline,1317.2
Dripline,3183.7
Dripline,2424.9
Dripline,5493.9
Dripline,2679.0
Dripline,3467.0
Dripline,3212.0
Dripline,3027.1
Dripline,1684.6
Dripline,3913.3
Dripline,1683.9
Dripline,5515.5
Dripline,4807.7
Dripline,774.1
Dripline,656.1
Dripline,2822.2
Dripline,2703.5
Dripline,1904.6
Dripline,2240.3
Dripline,5796.8
Dripline,2806.3
Dripline,3512.4
Dripline,4018.5
Dripline,3792.5
Dripline,1722.3
Dripline,1282.9
Dripline,3316.6
Dripline,1945.9
Dripline,1618.2
Dripline,1000.3
Dripline,1547.2
Dripline,3630.5
Dripline,4257.9
Dripline,11689.6
Dripline,1996.5
Dripline,2664.9
Dripline,2771.0
Dripline,5496.5
Dripline,1964.7
Dripline,1056.8
Dripline,2533.7
Dripline,2257.1
Dripline,3155.9
Dripline,1534.4
Dripline,1489.1
Dripline,2246.8
Dripline,915.5
Dripline,1251.2
Dripline,1314.3
Dripline,1520.6
Dripline,1375.0
Dripline,1343.7
Dripline,2900.3
Dripline,1079.8
Dripline,1014.7
Dripline,4404.6
Dripline,2961.0
Dripline,1312.5
Dripline,2259.3
Dripline,778.0
Dripline,2325.5
Dripline,1218.0
Dripline,5826.9
Dripline,1258.4
Dripline,1639.3
Dripline,1348.1
Dripline,1232.4
Dripline,1716.7
Dripline,1462.9
Dripline,1643.1
Dripline,2215.1
Dripline,2111.1
Dripline,428.7
Dripline,695.2
Dripline,1081.0
Dripline,1010.4
Dripline,1658.2
Dripline,2279.9
Dripline,2280.4
Dripline,617.6
Dripline,3608.3
Dripline,2188.5
Dripline,1335.2
Dripline,1423.1
Dripline,933.5
Dripline,1525.0
Dripline,1932.0
Dripline,1462.2
Dripline,1761.2
Dripline,1226.5
Dripline,1544.5
Dripline,813.5
1 ft from exterior wall,434.4
1 ft from exterior wall,1288.6
1 ft from exterior wall,234.6
1 ft from exterior wall,808.0
1 ft from exterior wall,826.2
1 ft from exterior wall,1522.9
1 ft from exterior wall,1802.2
1 ft from exterior wall,1413.2
1 ft from exterior wall,692.0
1 ft from exterior wall,1867.5
2 ft from exterior wall,601.3
2 ft from exterior wall,670.5
2 ft from exterior wall,845.5
2 ft from exterior wall,1614.6
2 ft from exterior wall,2038.2
2 ft from exterior wall,1050.6
2 ft from exterior wall,587.8
2 ft from exterior wall,1192.6
2 ft from exterior wall,1330.1
2 ft from exterior wall,834.6
3 ft from exterior wall,2230.3
3 ft from exterior wall,2210.8
3 ft from exterior wall,1795.6
3 ft from exterior wall,1169.1
3 ft from exterior wall,1368.3
3 ft from exterior wall,1029.3
3 ft from exterior wall,1369.9
3 ft from exterior wall,1182.7
3 ft from exterior wall,2115.7
3 ft from exterior wall,6677.6
4 ft from exterior wall,2973.7
4 ft from exterior wall,1864.0
4 ft from exterior wall,2796.4
4 ft from exterior wall,1820.9
4 ft from exterior wall,2362.8
4 ft from exterior wall,1904.4
4 ft from exterior wall,1218.5
4 ft from exterior wall,2705.4
4 ft from exterior wall,1363.6
4 ft from exterior wall,1265.8
5 ft from exterior wall,2598.5
5 ft from exterior wall,6467.9
5 ft from exterior wall,1598.0
5 ft from exterior wall,5400.0
5 ft from exterior wall,1645.2
5 ft from exterior wall,5678.4
5 ft from exterior wall,1644.8
5 ft from exterior wall,1859.1
5 ft from exterior wall,1535.1
5 ft from exterior wall,1512.1
10 ft from exterior wall,1424.9
10 ft from exterior wall,1064.1
10 ft from exterior wall,1778.1
10 ft from exterior wall,1323.7
10 ft from exterior wall,1617.6
10 ft from exterior wall,1494.4
10 ft from exterior wall,1792.5
10 ft from exterior wall,1588.3
10 ft from exterior wall,954.5
10 ft from exterior wall,1912.1
20 ft from exterior wall,528.9
20 ft from exterior wall,481.3
20 ft from exterior wall,580.0
20 ft from exterior wall,615.8
20 ft from exterior wall,515.8
20 ft from exterior wall,496.0
20 ft from exterior wall,699.4
20 ft from exterior wall,1626.2
20 ft from exterior wall,615.2
20 ft from exterior wall,858.5
20 ft from exterior wall,188.7
20 ft from exterior wall,206.7
20 ft from exterior wall,194.7
20 ft from exterior wall,167.6
20 ft from exterior wall,218.1
20 ft from exterior wall,234.8
20 ft from exterior wall,191.8
20 ft from exterior wall,193.8
20 ft from exterior wall,157.3
20 ft from exterior wall,0.0
Roadside,32.8
Roadside,61.2
Roadside,272.4
Roadside,37.8
Roadside,135.5
Roadside,92.6
Roadside,226.7
Roadside,164.5
Roadside,272.4
Roadside,346.2